Country Name,Indicator Name,Year,Value
Afghanistan,Access to electricity (% of population),2000,4.4
Afghanistan,Exports of goods and services (% of GDP),2000,10.42081714
Afghanistan,GDP per capita (current US$),2000,174.9309914
Afghanistan,"Government expenditure on education, total (% of GDP)",2000,4.684760571
Afghanistan,Imports of goods and services (% of GDP),2000,36.28907741
Afghanistan,"Inflation, consumer prices (annual %)",2000,12.68626872
Afghanistan,"Life expectancy at birth, total (years)",2000,55.005
Afghanistan,"Literacy rate, adult total (% of people ages 15 and above)",2000,31.0
Afghanistan,Population growth (annual %),2000,1.212175976
Bangladesh,Access to electricity (% of population),2000,32.0
Bangladesh,Exports of goods and services (% of GDP),2000,12.34420123
Bangladesh,GDP per capita (current US$),2000,396.6707302
Bangladesh,"Government expenditure on education, total (% of GDP)",2000,2.125080109
Bangladesh,Imports of goods and services (% of GDP),2000,16.97751313
Bangladesh,"Inflation, consumer prices (annual %)",2000,2.208256209
Bangladesh,"Life expectancy at birth, total (years)",2000,62.049
Bangladesh,"Literacy rate, adult total (% of people ages 15 and above)",2000,47.0
Bangladesh,Population growth (annual %),2000,1.827328067
Bhutan,Access to electricity (% of population),2000,31.2
Bhutan,Exports of goods and services (% of GDP),2000,28.00141116
Bhutan,GDP per capita (current US$),2000,771.9249114
Bhutan,"Government expenditure on education, total (% of GDP)",2000,5.786759853
Bhutan,Imports of goods and services (% of GDP),2000,46.02508595
Bhutan,"Inflation, consumer prices (annual %)",2000,4.012120811
Bhutan,"Life expectancy at birth, total (years)",2000,61.842
Bhutan,"Literacy rate, adult total (% of people ages 15 and above)",2000,53.0
Bhutan,Population growth (annual %),2000,2.422280776
China,Access to electricity (% of population),2000,96.7
China,Exports of goods and services (% of GDP),2000,20.8937073
China,GDP per capita (current US$),2000,959.3604314
China,"Government expenditure on education, total (% of GDP)",2000,2.391905546
China,Imports of goods and services (% of GDP),2000,18.5173266
China,"Inflation, consumer prices (annual %)",2000,0.347811227
China,"Life expectancy at birth, total (years)",2000,72.288
China,"Literacy rate, adult total (% of people ages 15 and above)",2000,91.0
China,Population growth (annual %),2000,0.787956593
India,Access to electricity (% of population),2000,60.3
India,Exports of goods and services (% of GDP),2000,12.99723631
India,GDP per capita (current US$),2000,442.7502189
India,"Government expenditure on education, total (% of GDP)",2000,4.324790001
India,Imports of goods and services (% of GDP),2000,13.9036866
India,"Inflation, consumer prices (annual %)",2000,4.00943591
India,"Life expectancy at birth, total (years)",2000,62.749
India,"Literacy rate, adult total (% of people ages 15 and above)",2000,61.0
India,Population growth (annual %),2000,1.879398262
Myanmar,Access to electricity (% of population),2000,41.9
Myanmar,GDP per capita (current US$),2000,196.6195806
Myanmar,"Government expenditure on education, total (% of GDP)",2000,0.787440002
Myanmar,"Inflation, consumer prices (annual %)",2000,-0.109165515
Myanmar,"Life expectancy at birth, total (years)",2000,60.357
Myanmar,"Literacy rate, adult total (% of people ages 15 and above)",2000,90.0
Myanmar,Population growth (annual %),2000,1.11707426
Nepal,Access to electricity (% of population),2000,29.9
Nepal,Exports of goods and services (% of GDP),2000,23.28400371
Nepal,GDP per capita (current US$),2000,223.8302892
Nepal,"Government expenditure on education, total (% of GDP)",2000,2.975150108
Nepal,Imports of goods and services (% of GDP),2000,32.42658529
Nepal,"Inflation, consumer prices (annual %)",2000,2.478820207
Nepal,"Life expectancy at birth, total (years)",2000,62.642
Nepal,"Literacy rate, adult total (% of people ages 15 and above)",2000,49.0
Nepal,Population growth (annual %),2000,1.731274864
Pakistan,Access to electricity (% of population),2000,72.8
Pakistan,Exports of goods and services (% of GDP),2000,9.629626104
Pakistan,GDP per capita (current US$),2000,642.3383465
Pakistan,"Government expenditure on education, total (% of GDP)",2000,1.837820053
Pakistan,Imports of goods and services (% of GDP),2000,11.83034322
Pakistan,"Inflation, consumer prices (annual %)",2000,4.366664513
Pakistan,"Life expectancy at birth, total (years)",2000,61.903
Pakistan,"Literacy rate, adult total (% of people ages 15 and above)",2000,50.0
Pakistan,Population growth (annual %),2000,2.824759835
Sri Lanka,Access to electricity (% of population),2000,70.3
Sri Lanka,Exports of goods and services (% of GDP),2000,39.01570089
Sri Lanka,GDP per capita (current US$),2000,846.4608133
Sri Lanka,"Government expenditure on education, total (% of GDP)",2000,2.055900097
Sri Lanka,Imports of goods and services (% of GDP),2000,49.62074082
Sri Lanka,"Inflation, consumer prices (annual %)",2000,6.17627591
Sri Lanka,"Life expectancy at birth, total (years)",2000,71.179
Sri Lanka,"Literacy rate, adult total (% of people ages 15 and above)",2000,91.0
Sri Lanka,Population growth (annual %),2000,1.821928939
Afghanistan,Access to electricity (% of population),2001,9.3
Afghanistan,Exports of goods and services (% of GDP),2001,10.42081714
Afghanistan,GDP per capita (current US$),2001,138.7068217
Afghanistan,"Government expenditure on education, total (% of GDP)",2001,4.684760571
Afghanistan,Imports of goods and services (% of GDP),2001,36.28907741
Afghanistan,"Inflation, consumer prices (annual %)",2001,12.68626872
Afghanistan,"Life expectancy at birth, total (years)",2001,55.511
Afghanistan,"Literacy rate, adult total (% of people ages 15 and above)",2001,31.0
Afghanistan,Population growth (annual %),2001,0.762004897
Bangladesh,Access to electricity (% of population),2001,35.0
